manufacturer,model,year,price,odometer,condition,transmission,cylinders,fuel,title_status,drive,size,type,paint_color,state
bmw,x3,2006,4500,154500,good,automatic,6 cylinders,gas,clean,4wd,mid-size,SUV,black,fl
ford,mustang,2013,13995,48194,excellent,manual,6 cylinders,gas,clean,rwd,sub-compact,coupe,grey,oh
cadillac,srx,2011,11250,96003,excellent,automatic,6 cylinders,gas,clean,4wd,mid-size,SUV,silver,va
cadillac,cts,2010,16800,58475,excellent,automatic,6 cylinders,gas,lien,4wd,mid-size,SUV,silver,md
ford,taurus_sel,2005,6300,91000,good,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,silver,tn
bmw,335i,2011,9900,84158,excellent,automatic,6 cylinders,gas,clean,4wd,sub-compact,sedan,black,nc
audi,a4,2012,10735,78910,excellent,automatic,4 cylinders,gas,clean,4wd,full-size,sedan,black,va
ford,focus,2005,2495,124715,excellent,automatic,4 cylinders,gas,clean,fwd,compact,sedan,grey,or
cadillac,srx,2012,11995,121000,excellent,automatic,6 cylinders,gas,clean,4wd,full-size,SUV,black,ny
ford,flex,2009,8300,162896,good,automatic,6 cylinders,gas,clean,fwd,full-size,wagon,white,az
chevrolet,impala,2010,5400,62000,excellent,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,custom,tn
chevrolet,trailblazer_lt,2005,3300,233000,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,SUV,grey,tn
chevrolet,camaro,1975,15500,21000,excellent,automatic,8 cylinders,gas,clean,rwd,compact,coupe,silver,tn
ford,edge,2018,21985,19824,like new,automatic,4 cylinders,gas,clean,fwd,mid-size,SUV,grey,tn
ford,transit,2018,28000,50449,good,automatic,6 cylinders,gas,clean,rwd,mid-size,van,white,wi
cadillac,cts,2012,18500,116136,good,automatic,6 cylinders,gas,clean,4wd,mid-size,SUV,silver,md
chevrolet,traverse_ltz,2016,18999,68724,excellent,automatic,6 cylinders,gas,clean,fwd,full-size,SUV,grey,va
ford,flex,2010,9500,189043,good,automatic,6 cylinders,gas,clean,fwd,full-size,wagon,grey,md
chevrolet,impala,2004,2400,105000,good,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,white,fl
ford,focus,2007,2750,128335,excellent,manual,4 cylinders,gas,clean,fwd,compact,hatchback,yellow,md
chevrolet,trailblazer_lt,2007,5995,158335,good,automatic,6 cylinders,gas,clean,rwd,mid-size,SUV,white,wi
cadillac,srx,2009,5200,94000,like new,automatic,6 cylinders,gas,clean,rwd,mid-size,sedan,white,fl
ford,mustang,2013,2500,61000,excellent,automatic,6 cylinders,gas,clean,rwd,compact,coupe,grey,tn
ford,flex,2014,13300,62000,excellent,automatic,6 cylinders,gas,rebuilt,rwd,full-size,wagon,black,tn
bmw,325i,2006,4950,126000,excellent,automatic,4 cylinders,gas,clean,fwd,compact,convertible,silver,tn
ford,taurus_sel,2008,8700,152000,excellent,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,silver,ma
ford,transit,2015,26000,42685,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,van,red,ma
bmw,328xi,2015,29999,34985,excellent,automatic,6 cylinders,gas,lien,4wd,compact,sedan,grey,ny
cadillac,srx,2013,12895,89371,excellent,automatic,6 cylinders,gas,clean,4wd,full-size,sedan,black,ma
ford,transit,2017,27500,30000,good,automatic,6 cylinders,gas,clean,rwd,mid-size,van,white,or
bmw,328xi,2013,13997,71520,excellent,manual,6 cylinders,gas,clean,rwd,compact,coupe,blue,ma
ford,mustang,1968,14990,83886,good,automatic,8 cylinders,gas,clean,rwd,mid-size,coupe,white,wi
bmw,328xi,2014,12995,83952,excellent,automatic,4 cylinders,diesel,clean,4wd,mid-size,sedan,white,ma
