Player,Position,Height(In),Weight(lb),DominantHand,College,City,State
Irv Smith Jr,TE,74,240,,Alabama,New Orleans,LA
Isaiah Buggs,DL,75,295,,Alabama,Ruston,LA
Quinnen Williams,DL,75,303,,Alabama,Birmingham,AL
Najee Harris,RB,73,232,R,Alabama,Martinez,CA
Jerry Jeudy,WR,73,193,,Alabama,Deerfield Beach,FL
Henry Ruggs III,WR,72,190,,Alabama,,
Jaylen Waddle,WR,70,182,,Alabama,Houston,TX
DeVonta Smith,WR,72,170,,Alabama,Amite City,LA
Alex Leatherwood,OL,77,312,,Alabama,Pensacola,FL
Trevon Diggs,DB,74,195,,Alabama,Gaithersburg,MD
Mac Jones,QB,75,217,R,Alabama,Jacksonville,FL
Brian Robinson Jr,RB,73,225,,Alabama,Tuscaloosa,AL
Evan Neal,OL,79,360,,Alabama,Okeechobee,FL
Patrick Surtain II,DB,74,202,,Alabama,Plantation,FL
Bryce Young,QB,72,194,,Alabama,,
